FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
8105125.txt,https://maildinshaakckjnw290.web.app/,37,maildinshaakckjnw290.web.app,28,0,app,36.68191414,0.875,0.001502,0.041573386,3,1,0,0,0,23,0.622,3,0.081,0,0,0,3,0.081,1,108,8125,1,maildinshaakckjnw290web,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
480591.txt,https://www.abu.edu.ng,21,www.abu.edu.ng,14,0,ng,100,0.571428571,0.0003306,0.049330632,2,2,0,0,0,7,0.333,0,0,0,0,0,2,0.095,1,1802,1292,1,abuedu,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,41,8,22,0,51,202,1
8071040.txt,http://u1965047.plsk.regruhosting.ru/253/,41,u1965047.plsk.regruhosting.ru,29,0,ru,32.12061295,0.769230769,0.0180132,0.032305837,2,2,0,0,0,19,0.463,10,0.244,0,0,0,5,0.122,0,38,135,1,u1965047plskreghosting253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
153444.txt,https://www.internetx.com,24,www.internetx.com,17,0,com,100,1,0.5229071,0.064418708,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,2019,3437,1,internetx,100,100,1,0,1,0,0,1,0,2,0,1,1,1,1,0,0,0,1,24,10,17,71,2,35,1
8073970.txt,https://sousblockshumajex.undertakerr.repl.co/,46,sousblockshumajex.undertakerr.repl.co,37,0,co,35.11975703,0.529411765,0.0059772,0.055530171,2,2,0,0,0,34,0.739,0,0,0,0,0,4,0.087,1,314,871,1,sousblockshumajexundertakerrrepl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8109117.txt,https://uki-outlook-office365-d0c.firebaseapp.com/,50,uki-outlook-office365-d0c.firebaseapp.com,41,0,com,29.23429931,0.405405405,0.5229071,0.05211906,3,1,0,0,0,32,0.64,4,0.08,0,0,0,6,0.12,1,39,84,1,uki-outlook-office365-d0cfirebaseapp,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
707579.txt,https://www.ccrta.org,20,www.ccrta.org,13,0,org,100,1,0.0799628,0.072687908,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,1143,1816,1,ccrta,100,100,1,1,1,1,0,1,0,6,0,1,1,0,0,0,1,0,1,28,30,36,97,2,111,1
592564.txt,https://www.swengines.com,24,www.swengines.com,17,0,com,100,1,0.5229071,0.062098439,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1919,6451,1,swengines,100,100,1,0,1,1,1,1,1,4,0,1,1,1,0,0,1,0,1,28,10,27,7,2,14,1
129273.txt,https://www.dukebasketballreport.com,35,www.dukebasketballreport.com,28,0,com,100,1,0.5229071,0.056794662,3,1,0,0,0,22,0.629,0,0,0,0,0,1,0.029,1,4634,29781,1,dukebasketballreport,100,100,1,0,1,0,0,1,0,2,0,1,1,0,0,1,1,1,1,66,4,16,139,0,222,1
889848.txt,https://www.efmr.org,19,www.efmr.org,12,0,org,100,1,0.0799628,0.065434625,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,124,498,1,efmr,100,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,1,0,2,0,4,1
