FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
733402.txt,https://www.humangeographies.org.ro,34,www.humangeographies.org.ro,27,0,ro,100,0.85,0.001523,0.058031778,2,2,0,0,0,20,0.588,0,0,0,0,0,2,0.059,1,374,1902,1,humangeogaphiesog,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,6,10,27,52,1,58,1
mw201494.txt,http://www.topuogodo.gq,23,www.topuogodo.gq,16,0,gq,59.93589744,1,5.30E-05,0.055415974,2,1,0,0,0,11,0.478,0,0,0,0,0,1,0.043,0,8,49,1,topuogodo,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7935357.txt,https://polisheddoc01.dropboks.workers.dev/,42,polisheddoc01.dropboks.workers.dev,34,0,dev,44.89795918,0.466666667,0.0009613,0.05120833,3,2,0,0,0,29,0.69,2,0.048,0,0,0,3,0.071,1,8,9331,0,0,3.333333333,3.333333333,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
633730.txt,https://www.mariasherow.com,26,www.mariasherow.com,19,0,com,100,1,0.5229071,0.066900801,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,192,379,1,mariasherow,100,100,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,6,1,2,0,0,6,1
450845.txt,https://www.greenofficemovement.org,34,www.greenofficemovement.org,27,0,org,100,1,0.0799628,0.065595295,3,1,0,0,0,21,0.618,0,0,0,0,0,1,0.029,1,855,10517,1,greenofficemovement,100,100,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,36,7,57,52,3,61,1
783336.txt,https://www.villalobosproject.com,32,www.villalobosproject.com,25,0,com,100,1,0.5229071,0.060805058,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,593,1350,1,villalobosproject,100,100,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,13,5,10,13,2,1,1
7666179.txt,https://storageapi.fleek.co/53205beb-e9f1-4cdc-88ad-5732e17b1dd0-bucket/emailserver8/index4.html#username@domainname.com,119,storageapi.fleek.co,19,0,co,17.37045926,0.6875,0.0059772,0.047564311,2,1,0,0,0,77,0.647,20,0.168,0,0,0,14,0.118,1,2,128,0,0,0,0.970873786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793518.txt,https://www.nationalmocktrial.org,32,www.nationalmocktrial.org,25,0,org,100,1,0.0799628,0.066526547,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,136,2587,1,nationalmocktrial,100,100,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,31,2,8,23,0,6,1
mw14077.txt,http://www.threatcenterofreaserch.com,36,www.threatcenterofreaserch.com,30,0,com,58.31689678,1,0.5229071,0.067632914,3,1,0,0,0,24,0.667,0,0,0,0,0,1,0.028,0,9,51,1,threatcenterofreaserch,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45364.txt,https://www.httpvshttps.com,26,www.httpvshttps.com,19,0,com,100,1,0.5229071,0.047321765,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,905,1309,1,httpvshttps,100,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,365,0,5,5,0,16,1
127634.txt,https://www.nbnco.com.au,23,www.nbnco.com.au,16,0,au,100,0.666666667,0.0100856,0.070178567,2,2,0,0,0,9,0.391,0,0,0,0,0,2,0.087,1,31364,10418,1,nbncocom,0,0,1,0,1,1,0,1,0,6,0,1,1,0,0,0,1,1,1,173,8,16,426,16,12,1
894068.txt,https://www.adamexpo.net,23,www.adamexpo.net,16,0,net,100,1,0.0384199,0.062258574,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,2015,42232,1,adamexpo,100,100,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,29,24,20,51,2,61,1
814269.txt,https://www.modernbrands.com.au,30,www.modernbrands.com.au,23,0,au,100,0.8125,0.0100856,0.064480192,2,2,0,0,0,16,0.533,0,0,0,0,0,2,0.067,1,3196,5795,1,modernbrndscom,0,0,1,1,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,7,8,16,661,4,23,1
oph04865.txt,https://mail.allebanden365.be/au-mygovclaim/prohqcker3.php,57,mail.allebanden365.be,21,0,be,22.54745098,0.777777778,0.0033189,0.049253857,2,1,0,0,0,39,0.684,4,0.07,0,0,0,6,0.105,1,11,85,1,mailallebanden365au-mygovclaimprohqcker3ph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw66773.txt,http://www.ha9a05c796eef4e3e3cbd0f9303440df2f.ws,47,www.ha9a05c796eef4e3e3cbd0f9303440df2f.ws,41,0,ws,19.4648418,0.294117647,0.0003477,0.0246868,2,1,0,0,0,17,0.362,18,0.383,0,0,0,1,0.021,0,13,244,1,ha9a05c796eef4e3e3cbd0f9303440df2f,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34632.txt,https://www.gestazion.com,24,www.gestazion.com,17,0,com,100,1,0.5229071,0.064849412,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1724,2390,1,gestazion,100,100,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,31,4,18,62,4,59,1
589219.txt,https://www.who.ne.jp,20,www.who.ne.jp,13,0,jp,100,0.666666667,0.0230451,0.048316194,2,2,0,0,0,6,0.3,0,0,0,0,0,2,0.1,1,1053,4197,1,whone,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,28,27,23,81,1,84,1
