FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
oph04766.txt,https://xn--yno-mqa.com/login,28,xn--yno-mqa.com,15,0,com,38.46629561,0.454545455,0.5229071,0.056882423,3,0,0,0,0,15,0.536,0,0,0,0,0,5,0.179,1,39,5064,1,xn--yno-mqalogi,0,93.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
488535.txt,https://www.germ-fogger.com,26,www.germ-fogger.com,19,0,com,100,0.636363636,0.5229071,0.06184276,3,1,0,0,0,12,0.462,0,0,0,0,0,2,0.077,1,766,9533,1,germ-fogger,100,100,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,17,12,32,46,2,53,1
8054426.txt,https://helpme120312421312412.firebaseapp.com/,46,helpme120312421312412.firebaseapp.com,37,0,com,44.79258775,0.818181818,0.5229071,0.034508242,3,1,0,0,0,20,0.435,15,0.326,0,0,0,3,0.065,1,6,97,0,0,3.03030303,3.03030303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148710.txt,https://www.bigsurcalifornia.org,31,www.bigsurcalifornia.org,24,0,org,100,1,0.0799628,0.059472487,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,256,3505,1,bigsurcalifnia,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,1,2,1,0,8,1
101360.txt,https://www.yoshimoto.co.jp,26,www.yoshimoto.co.jp,19,0,jp,100,0.833333333,0.0230451,0.06342638,2,2,0,0,0,12,0.462,0,0,0,0,0,2,0.077,1,315,240,1,yoshimotoco,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,3,4,5,1,23,1
oph11163.txt,http://cz99750.tw1.ru/agri/be6c7be51c96891/region.php?lca,57,cz99750.tw1.ru,14,0,ru,16.25411765,0.727272727,0.0180132,0.035664031,2,1,0,0,0,28,0.491,15,0.263,0,1,0,6,0.123,0,2,66,0,0,9.090909091,2.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598834.txt,https://www.ohbases.com,22,www.ohbases.com,15,0,com,100,1,0.5229071,0.067391722,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,3336,2673,1,ohbases,100,100,1,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,28,12,34,117,4,15,1
883008.txt,https://www.dailyimpact.net,26,www.dailyimpact.net,19,0,net,100,1,0.0384199,0.056758695,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,698,9381,1,dailyimpact,100,100,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,1,13,8,6,86,0,94,1
515583.txt,https://www.discounthotels.com,29,www.discounthotels.com,22,0,com,100,1,0.5229071,0.063329025,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,2323,3862,1,disunthotels,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,20,23,48,56,6,73,1
mw69253.txt,http://www.leletaovip.com,24,www.leletaovip.com,18,0,com,64.3537415,1,0.5229071,0.064847348,3,1,0,0,0,12,0.5,0,0,0,0,0,1,0.042,0,24,80,1,leletaovip,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
