FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
86915.txt,https://www.tinywebgallery.com,29,www.tinywebgallery.com,22,0,com,100,1,0.5229071,0.053040487,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,355,945,1,tinywebgallery,100,100,1,1,1,0,0,1,1,15,0,1,0,0,0,1,1,1,0,8,3,7,49,1,47,1
mw209908.txt,http://www.madangfood.com,25,www.madangfood.com,18,0,com,79.88888889,1,0.5229071,0.063641073,3,1,0,0,0,13,0.52,0,0,0,0,0,1,0.04,0,11,70,1,madangfood,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
92559.txt,https://www.inference.vc,23,www.inference.vc,16,0,vc,100,1,0.0001673,0.06076555,2,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,217,462,1,inference,100,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,10,23,0,20,1
224111.txt,https://www.torforgeblog.com,27,www.torforgeblog.com,20,0,com,100,1,0.5229071,0.063435843,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1231,9381,1,torforgeblog,100,100,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,62,7,14,152,0,195,1
oph10799.txt,https://tinyurl.com/y98bytjf,28,tinyurl.com,11,0,com,57.35714286,1,0.5229071,0.038341772,3,0,0,0,0,16,0.571,2,0.071,0,0,0,2,0.071,1,13,231,1,tinyurly98bytjf,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74062.txt,https://www.luxresearchinc.com,29,www.luxresearchinc.com,22,0,com,100,1,0.5229071,0.061523953,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,1618,19268,1,luxresearchinc,100,100,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,46,10,17,71,0,72,1
mw207358.txt,http://www.blog.s-se.ru,22,www.blog.s-se.ru,16,0,ru,83.76068376,0.555555556,0.0180132,0.057398954,2,2,0,0,0,8,0.364,0,0,0,0,0,3,0.136,0,9,50,1,blogs-se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw15344.txt,http://www.dba039c1.space,24,www.dba039c1.space,18,0,space,53.00084531,0.75,0.0003175,0.03732635,5,1,0,0,0,8,0.333,4,0.167,0,0,0,1,0.042,0,2,33,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234252.txt,https://www.portsofcall.de,25,www.portsofcall.de,18,0,de,100,1,0.0326503,0.05729207,2,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,212,781,1,portsofcall,100,100,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,10,1,0,0,0,11,1
7360229.txt,http://soumya252000.github.io/netflix/,37,soumya252000.github.io,22,0,io,47.25448029,0.684210526,0.0129268,0.03977753,2,1,0,0,0,21,0.568,6,0.162,0,0,0,3,0.081,0,9,50,1,soumya252000githubnetflix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883023.txt,https://www.301fw.afrc.af.mil,28,www.301fw.afrc.af.mil,21,0,mil,100,0.615384615,0.0002984,0.037161065,3,3,0,0,0,10,0.357,3,0.107,0,0,0,3,0.107,1,2116,11901,1,301fwafrcaf,0,0,1,1,1,1,0,0,1,9,0,1,0,1,0,0,1,0,0,38,5,7,44,0,42,1
