FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
759215.txt,https://www.carternewell.com,27,www.carternewell.com,20,0,com,100,1,0.5229071,0.066546528,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1514,223,1,carternewell,100,100,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,92,3,17,182,0,23,1
8047267.txt,https://bafybeig7vrgkvsnm2v3cx5j6q7iaw5xbirszsvobadafq7d5a3yxmnv4xm.ipfs.fleek.cool/?filename=onedr4over.html,109,bafybeig7vrgkvsnm2v3cx5j6q7iaw5xbirszsvobadafq7d5a3yxmnv4xm.ipfs.fleek.cool,75,0,cool,7.052172893,0.242857143,3.77E-05,0.041086975,4,2,0,0,0,82,0.752,12,0.11,1,1,0,5,0.064,1,9,117,1,bafybeig7vrgkvsnm2v3cx5j6q7iaw5xbirszsvobadafq7d5a3yxmnv4xmipfsfleek?filename=onedr4overhtml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7891899.txt,https://case1001759205260954622041.web.app/,42,case1001759205260954622041.web.app,34,0,app,25.60553633,0.9,0.001502,0.018290337,3,1,0,0,0,10,0.238,22,0.524,0,0,0,2,0.048,1,9,126,0,0,3.333333333,3.333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8127480.txt,https://gateway.pinata.cloud/ipfs/bafybeiardsa5er7hxrjr74j6khdgikhmxomx5hrwldrefftslvh72a3rai/bliveautoweb.html,111,gateway.pinata.cloud,20,0,cloud,19.71838135,0.571428571,0.0001819,0.043036578,5,1,0,0,0,88,0.793,9,0.081,0,0,0,6,0.054,1,2,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654003.txt,https://www.leregardysa.com,26,www.leregardysa.com,19,0,com,100,1,0.5229071,0.062461553,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,806,9381,1,leregardysa,100,100,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,18,24,26,67,13,73,1
7969411.txt,https://storageapi.fleek.co/d58c01cc-ee8d-40cc-8e61-80bfa24c7f88-bucket/gatsadfxg.html,85,storageapi.fleek.co,19,0,co,24.82543963,0.6875,0.0059772,0.041783176,2,1,0,0,0,50,0.588,17,0.2,0,0,0,10,0.118,1,18,91298,0,0,0,1.369863014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8094851.txt,http://banccadisti.com/login-banca-semplice-corporate/websignal/loaderstep3.php,79,banccadisti.com,15,0,com,17.0271013,1,0.5229071,0.059659006,3,0,0,0,0,63,0.797,1,0.013,0,0,0,8,0.101,0,9,87,1,banccadistilogin-banca-semplice-corporatewebsignalloaderstep3php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
782583.txt,https://www.immanuelky.org,25,www.immanuelky.org,18,0,org,100,1,0.0799628,0.057010712,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1528,2252,1,immanuelky,100,100,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,17,2,6,73,12,49,1
534396.txt,https://www.sebaslab.com,23,www.sebaslab.com,16,0,com,100,1,0.5229071,0.062750357,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,1247,14763,1,sebaslab,100,100,0,1,1,0,0,1,3,0,0,0,1,1,0,0,1,1,0,48,28,6,302,0,317,1
8029237.txt,https://stupendousjuvenilemicrokernel.luisperalta4.repl.co/,58,stupendousjuvenilemicrokernel.luisperalta4.repl.co,50,0,co,22.6572549,0.659574468,0.0059772,0.056866716,2,2,0,0,0,46,0.793,1,0.017,0,0,0,3,0.052,1,198,869,1,stupendousjuvenilemicrokernelluisperalta4repl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
